cluster,key word,response,processed response
0,student,I would have more interaction between students. ,would interact student
0,teacher,More interaction with teachers,interact teacher
0,interact,More interactive!!,interact
0,project,Make it more interacting with small group projects to be able to interact and talk to other students,make interact small group project abl interact talk student
0,peer,More peer interaction,peer interact
0,student,More interaction with other students,interact student
0,get,get them more interactive ,get interact
0,interact,Interaction ,interact
0,professor,More interaction between the students and the professor ,interact student professor
0,interact,More interaction,interact
0,classmat,More interaction and discussion with classmates,interact discuss classmat
0,room,"More interaction, room for discussion",interact room discuss
0,interact,More live interaction.,live interact
0,interact,More interaction ,interact
0,interact,Not being so interactive,interact
0,time,More time for 1 on 1 interactions.,time 1 1 interact
0,make,Make them more interactive,make interact
0,like,I would like them to be more interactive,would like interact
0,peer,Having more interaction with my peers,interact peer
0,interact,More interaction ,interact
0,interact,More interaction,interact
0,interact,Be more interactive,interact
0,professor, I would like some professors to interact more with students,would like professor interact student
0,interact,More interaction ,interact
0,interact,More interaction ,interact
0,make,would make it more interactive ,would make interact
0,make,Make it more interactive ,make interact
0,student,More interaction with other students,interact student
0,possibl,More possibilities for interaction ,possibl interact
0,like,I would like them to be more interactive ,would like interact
0,instructor,More interaction between instructor and students,interact instructor student
0,interact,More interaction,interact
0,interact,More interaction ,interact
0,student,I would like more interaction with other students.,would like interact student
0,could,It could be more interactive,could interact
0,commun,"More interaction, better communication",interact better commun
0,would,I would make them more interactive to so that I would be more motivated,would make interact would motiv
0,interact,More interactive ,interact
0,interact,More interactive,interact
0,could,That it could be more interactive,could interact
0,interact,More interaction,interact
0,interact,More interactive ,interact
0,id,I'd like them to be more interactive.,id like interact
0,interact,More interaction with lecturers,interact lectur
0,interact,More interactive ,interact
0,interact,More interactive ,interact
0,make,I would make them more interactive,would make interact
0,student,I would have more interaction between students,would interact student
0,interact,More interactive ,interact
0,make,Make it more interactive,make interact
0,interact,More interactive classes ,interact class
0,interact,More interaction,interact
0,interact,More interactive ,interact
0,quizz,More interactive quizzes,interact quizz
0,like,I would like them to be more interactive. ,would like interact
0,teacher,More interaction with the teachers ,interact teacher
0,interact,More interaction,interact
0,make,I would make it more interactive.,would make interact
0,interact,More interaction,interact
0,interact,More interaction,interact
0,interact,More interactivity ,interact
0,make,Make them more interactive.,make interact
0,student,More interaction with the students.,interact student
0,involv,"I’d make them more interactive, involving the students more.",i’d make interact involv student
0,make,I would make them more interactive. ,would make interact
0,tri,I would try to make them more interactive.,would tri make interact
0,nice,More interaction would be nice,interact would nice
0,could,They could be more interactive,could interact
0,make,i would make them more interactive,would make interact
0,professor,Interaction between students and professors,interact student professor
0,make,Make them be more interactive,make interact
0,room,More room for interactions from students ,room interact student
0,interact,To be more interactive ,interact
0,us,More interaction between my professors and us.,interact professor us
0,us,That teachers would have more interaction with us,teacher would interact us
0,interact,More interactive! ,interact
0,interact,More interactive!!!,interact
0,make,make them more interactive,make interact
0,make,Make them interactive!!!,make interact
0,interact,Being more interactive,interact
0,make,Make them more interactive,make interact
0,interact,More interaction,interact
0,bore,More interactive and less boring,interact less bore
0,interact,More interactive,interact
0,enough,It not being interactive enough ,interact enough
0,interact,I’d have them be more interactive.,i’d interact
0,abl,Be able to have more interaction between students. ,abl interact student
0,interact,More interaction from lecturers out of class,interact lectur class
0,interact,More interaction ,interact
0,interact,More interactive,interact
0,talk,More  interaction rather than just talking at me,interact rather talk
0,discuss,More interaction and discussions between students ,interact discuss student
0,interact,To have more interaction,interact
0,student,More student interaction ,student interact
0,less,Make them less interactive,make less interact
0,make,Make them more interactive,make interact
0,interact,I would have them be more interactive ,would interact
0,make,Make it more interactive,make interact
0,interact,More interactive ,interact
0,motiv,More interaction as it’s more motivating,interact it’ motiv
0,longer,More interactive / longer ,interact longer
0,therefor,More interactive. They are not as interactive and in person lectures. Therefore they are a bit boring ,interact interact person lectur therefor bit bore
0,teacher,teacher should be more interactive with students ,teacher interact student
0,interact,More interactive ,interact
0,make,I would make them more interactive ,would make interact
0,student,more interactions between students and lecturers ,interact student lectur
0,interact,For them to be more interactive ,interact
0,session,I would have more interactive sessions.,would interact session
0,interact,All be more interactive ,interact
0,opportun,More opportunity for interaction,opportun interact
0,understand,More interaction to help with understanding,interact help understand
0,interact,more interactive ,interact
0,interact,More interactive ,interact
0,interact,"More live lectures, for the interactivity",live lectur interact
0,ask,Make them more interactive with asking questions,make interact ask question
0,interact,More interactive ,interact
0,interact,More interactive ,interact
0,rather,More interaction rather than just lectures,interact rather lectur
0,interact,interaction ,interact
0,instructor,Make it easier to interact with the instructors ,make easier interact instructor
0,interact,More interactive ,interact
0,make,Make them more interactive ,make interact
0,discuss,Interactive or discussions ,interact discuss
