0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
hustl,0.226884,0.053856,0.077676,0.025092,0.029774,0.015358,0.015644,-0.217068,0.168759,0.169243,0.056605,-0.148944,-0.007552,0.115221,0.186922,0.085002,-0.190629,-0.010313,-0.062345,-0.102306
meaning,0.043019,0.095369,0.118239,0.079668,-0.137502,-0.114295,-0.107328,-0.058118,0.010626,0.01188,0.182059,-0.05105,0.007087,0.116368,-0.042998,-0.058008,0.207035,0.160491,0.108192,-0.002202
get,0.047622,-0.515561,0.035372,0.800338,-0.598855,-0.594564,-1.915491,1.241685,-0.844133,-0.363908,0.469367,1.048715,-0.675285,-1.022148,-0.28613,-0.202613,2.54491,1.589211,0.450825,0.835662
your,-1.147074,-0.006937,0.134759,0.318111,-0.476969,0.001613,-0.692998,-0.831585,-0.199896,0.332825,-0.139162,0.301283,0.260205,0.199048,0.500821,-0.463794,0.245281,0.277204,-0.14183,0.650376
multipl,-0.721943,-0.153048,-0.318555,0.159667,-0.059256,0.322268,0.327945,0.986215,0.112524,0.038679,-0.304289,0.113222,-0.616544,-0.882358,-0.193003,0.131625,-0.33947,-0.560831,0.539791,0.130867
manag,-0.623087,-0.322777,-0.772482,-0.075497,0.171376,0.116945,0.526944,0.89095,-0.303623,-0.567878,-0.060611,0.321548,-0.161583,-0.654047,-0.741107,-0.524335,0.281566,-0.278613,-0.126072,0.697419
organis,-0.078493,-0.367638,-0.501496,0.008671,0.582977,0.179655,0.436888,0.292856,-0.091961,-0.5723,0.094571,0.307305,0.028422,-0.175603,-0.874098,-0.21533,0.14708,-0.191328,-0.098241,0.509098
opportun,-0.331455,0.879866,-0.523423,0.218185,-0.222207,-0.381569,0.217816,0.111945,-0.882889,-0.567674,0.570073,-0.943944,0.387676,-0.623038,-0.021469,-1.157251,1.283093,0.808989,1.121276,-0.043092
dinam,0.030188,0.002221,-0.02849,-0.144825,0.097436,0.156192,0.307913,-0.142506,0.312036,0.202328,-0.039191,-0.02166,-0.053942,0.183839,-0.012718,0.213036,-0.349848,-0.271953,-0.024623,-0.066973
help,-0.380795,0.382294,-0.449083,1.506473,0.272973,-0.103078,-0.784978,1.387441,-1.125113,-0.942026,0.142646,-0.13277,-0.255083,0.192432,-0.482647,-1.560817,1.393812,1.163212,0.006319,0.575461
lear,0.071842,-0.073736,-0.054914,-0.024287,0.196545,0.080541,0.194357,-0.182427,0.09779,0.040094,-0.04417,-0.000373,0.073788,0.053283,-0.059119,0.152715,-0.153843,-0.187709,-0.055588,0.053139
comment,0.186399,0.00726,0.016947,0.133141,0.265843,-0.088254,0.193041,-0.353196,0.270759,0.188287,0.058032,-0.19075,0.190839,0.028674,0.103173,0.012187,0.057315,0.000111,0.042334,0.182518
differ,-0.030959,-0.231774,-0.412495,-0.212977,-0.03548,-0.237992,0.628559,0.908337,-0.50419,-0.057079,-0.196099,-0.213754,-0.216511,-0.738231,-0.093393,-1.107052,0.255113,-0.2808,-0.058385,0.445037
correctli,0.233164,0.048025,0.022389,-0.312915,-0.103225,0.032721,-0.003225,-0.175285,0.281198,0.231655,-0.025287,-0.038715,-0.043521,0.236249,0.055345,0.243125,-0.18459,-0.065278,-0.015156,-0.154518
organ,-0.77791,-0.117192,-0.502066,-0.322232,0.228319,0.069967,0.325723,0.430644,-0.824686,-0.569717,-0.280992,0.476732,0.196107,-0.569311,-0.834823,-0.364357,0.027646,-0.482366,-0.166612,0.108751
differ,-0.030959,-0.231774,-0.412495,-0.212977,-0.03548,-0.237992,0.628559,0.908337,-0.50419,-0.057079,-0.196099,-0.213754,-0.216511,-0.738231,-0.093393,-1.107052,0.255113,-0.2808,-0.058385,0.445037
close,0.192399,-1.052826,0.506441,-0.492004,-0.942588,-0.77461,-0.694463,-1.666311,-1.08159,-0.061154,0.59357,0.902371,0.649571,-0.180822,0.685552,-0.8278,0.337616,0.68958,-0.795935,-0.370267
doubt,1.118801,0.686503,0.640279,-0.056041,-0.663658,-0.705891,-0.279103,0.139036,0.540824,0.192524,0.589276,0.16163,-0.241852,0.338638,-0.420904,-0.500716,0.75744,1.042526,0.668614,0.09005
similar,-0.493013,-1.141051,0.228367,-0.794729,-0.727066,-0.368145,-0.809326,-0.811887,-1.599999,-0.588236,0.73706,1.248025,0.649471,-0.625548,0.062358,-1.692251,0.398756,0.758998,-0.922342,-0.617846
teacher,-0.056596,0.407009,0.188804,0.916886,-1.284078,-0.607466,-1.604439,1.456093,-1.588167,-1.037669,0.371972,-0.18951,-0.179275,0.018542,-0.201908,-1.231407,2.469955,1.895236,-0.030329,0.475678
spontan,0.13704,0.234496,-0.125503,-3.9e-05,-0.00494,-0.16014,0.36725,-0.336952,0.197956,-0.012078,0.202065,-0.422845,0.193785,0.253168,-0.07205,0.007637,0.071021,-0.055895,0.111462,0.030398
quickli,0.467862,0.22694,0.329183,0.086431,-0.169183,-0.112784,-0.534724,0.654359,0.56267,0.254894,0.302871,-0.050975,-0.631988,-0.194274,-0.123391,0.005431,0.544677,0.448704,0.433534,0.202535
whenev,-2.102461,0.2339,0.270574,0.787229,-0.678262,0.289579,-0.984982,1.306259,-1.490909,-1.063325,-0.408105,0.351082,-1.442695,-1.325861,-0.61091,0.702499,-0.159922,-0.596093,0.783539,-0.361888
yo,0.085251,-0.049226,-0.028257,0.005514,0.060171,0.018945,0.091734,-0.09438,0.066616,0.026335,0.043087,0.020272,0.005145,0.193559,-0.096013,0.033951,0.01002,-0.029657,-0.029188,0.130798
clear,0.905532,0.33364,0.26916,-0.110788,-0.487442,-0.433097,-0.157347,0.178367,0.488814,0.175815,0.411597,0.039143,-0.328627,0.324006,-0.339844,-0.342916,0.611968,0.671726,0.441094,0.167412
properli,0.363217,0.144529,-0.247903,0.058195,-0.44658,0.084672,-0.370172,0.859447,-0.132267,0.142702,0.20096,0.196487,-0.196054,0.198256,0.202744,-0.380041,0.567025,0.753995,0.15513,-0.178052
dificulti,0.030572,0.012104,0.047594,-0.01794,-0.013939,0.065585,0.139351,-0.026113,0.281863,0.164396,0.004613,-0.047522,-0.142587,0.087706,-0.016153,0.144282,-0.282821,-0.124277,0.089831,-0.070776
high,-0.40967,-0.313785,-0.170043,-0.344171,-0.238925,0.127464,-0.121004,-0.689041,-0.021135,0.046899,0.113389,0.173641,0.264807,0.553921,-0.205647,0.032536,-0.194403,-0.022413,-0.3145,-0.159205
arrang,-0.21963,-0.031026,-0.115405,-0.049657,0.066055,0.166927,0.120211,0.043492,-0.0167,-0.061534,-0.067768,0.042288,-0.090599,0.068324,-0.077373,0.114409,-0.135451,-0.176356,0.124756,0.02572
invest,0.115175,0.032616,0.037435,-0.079956,0.019459,-0.076303,0.147913,-0.223668,0.298804,0.199077,0.015617,-0.118505,-0.008422,0.060485,0.038461,0.13174,-0.126102,-0.145648,0.090143,-0.015545
resembl,0.294092,-1.123269,0.200647,-1.063092,-0.795614,-1.082814,-0.89181,-1.196596,-0.621174,0.000353,0.195951,0.383528,0.933974,-0.715428,0.903451,-0.414841,0.11272,0.354643,-1.572505,-0.534225
abstract,-0.004803,0.005004,-0.011399,0.001462,0.034053,0.003293,0.093276,-0.052245,0.07513,0.004447,-0.038524,-0.115914,-0.054871,0.023316,0.027011,0.115488,-0.099833,-0.101703,0.0676,-0.031076
text,0.328768,0.246049,-0.18153,-0.300542,-0.361916,0.574842,-0.036745,0.36879,0.005031,0.328533,0.552258,0.08174,-0.127904,0.732387,0.142645,0.039925,-0.080248,0.301296,-0.023439,-0.286547
fundament,0.067905,-0.007454,-0.038623,-0.099292,0.021753,0.029306,0.086214,-0.079683,0.186585,0.135396,-0.034997,-0.017555,-0.008236,0.060145,0.025775,0.167115,-0.186106,-0.142408,-0.021085,-0.049298
forget,0.253741,0.318151,0.487074,0.054126,-0.43857,0.012616,-0.366578,0.302034,0.326827,0.304818,-0.135691,-0.116961,-0.376946,-0.434016,0.281212,0.254273,-0.433796,0.118376,0.629227,-0.571621
