0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
time,-1.61338,-0.795772,-0.782358,-0.045996,-0.375312,-0.470509,-0.656837,3.044927,-1.158574,-1.024141,-0.80159,0.76644,-0.332072,-2.978708,-0.841869,-0.811766,1.992656,0.052061,1.026799,0.667928
question,0.122952,0.88058,0.649585,0.39244,-0.986905,-1.071321,-1.578345,1.319288,-0.695328,-0.955232,0.895382,-0.014468,-0.057431,-1.091511,-0.430991,-1.391338,2.725819,2.090535,1.276974,0.042898
interact,0.014921,0.192068,0.324707,1.207708,-0.393563,-0.896499,-0.794907,-0.196054,-2.237307,-1.274679,0.934627,0.433269,0.726649,-0.789657,-0.1775,-1.962556,2.178396,1.520528,-0.152644,0.655068
class,-0.299012,-0.6282,-0.055734,-0.081714,-0.045585,-1.164068,-1.51855,0.809732,-1.694755,-1.182951,-0.22103,0.499674,0.89944,-2.626223,0.486697,-1.113285,1.873591,0.99233,-0.537982,-0.332723
ask,-0.146243,1.006846,0.746248,0.778785,-0.959183,-0.953047,-1.5952,0.975834,-1.041862,-0.991913,0.882071,0.157543,0.135508,-0.910597,-0.479388,-1.710707,2.693983,2.145451,1.248849,0.221703
lectur,-0.585489,-0.414781,0.119889,1.101656,0.312407,-0.333436,-0.928308,1.168807,-2.338776,-0.754955,0.546647,-0.015444,0.034751,-2.720375,1.582561,-0.457643,1.510142,0.643644,0.413755,-0.636001
teacher,-0.056596,0.407009,0.188804,0.916886,-1.284078,-0.607466,-1.604439,1.456093,-1.588167,-1.037669,0.371972,-0.18951,-0.179275,0.018542,-0.201908,-1.231407,2.469955,1.895236,-0.030329,0.475678
work,-1.918841,-0.323149,-1.535789,0.014849,0.251638,0.758502,-1.58965,2.070424,-1.202342,-0.598872,-0.869214,0.85619,0.007824,-0.657934,-0.674602,-0.256626,2.1248,0.850505,-0.240081,0.836697
like,-1.56864,-0.194377,0.127684,1.117979,-0.563729,-0.16087,-2.29042,0.324556,-1.850362,-0.28135,-0.256344,1.598193,0.506614,-0.948144,0.621835,-1.187804,1.31063,1.319322,-0.242193,0.234827
live,0.112824,-0.101002,-0.224801,0.819101,0.299806,-0.985207,-1.418046,1.107899,-1.58794,-1.079259,-0.222642,0.098967,0.730506,-2.425603,0.161788,-0.143902,2.156872,1.189402,-0.324193,-0.571641
get,0.047622,-0.515561,0.035372,0.800338,-0.598855,-0.594564,-1.915491,1.241685,-0.844133,-0.363908,0.469367,1.048715,-0.675285,-1.022148,-0.28613,-0.202613,2.54491,1.589211,0.450825,0.835662
feel,-1.297612,-0.041982,0.303142,1.81589,-0.467214,-0.726753,-2.00537,-0.376825,-1.797239,-0.763933,0.114763,2.439282,0.94804,-0.554503,-0.544189,-0.655642,1.029511,1.607987,-0.183966,0.131873
learn,-0.223903,0.182387,0.021744,0.147094,0.337838,0.792095,-0.501872,1.531833,-2.503869,-1.035585,-0.441964,1.103313,0.895865,0.083965,0.194635,-2.257158,0.986816,1.061717,-0.207448,0.315301
easier,1.177219,-0.197931,0.297438,0.983126,0.471964,0.428821,-0.483556,1.584927,-1.303842,-1.38775,0.626044,1.435645,-0.464497,-0.708733,-1.019917,-1.436825,1.218735,0.853631,0.245735,0.581516
understand,0.049493,1.352553,-0.338454,1.267872,-0.425778,0.292455,-0.564212,2.920749,-0.778748,-0.173503,0.228037,1.294199,-0.762988,-0.58474,-0.233467,-1.75409,0.343387,1.336948,0.949998,-0.337954
engag,0.038453,0.551051,-0.185357,1.465573,0.997603,-0.105134,-0.624983,0.703959,-1.534028,-0.99883,0.971618,0.65819,1.297973,-0.661921,0.213327,-1.574323,2.042916,1.65128,-0.208006,0.567908
it’,0.711682,-0.793789,0.435239,0.955975,-0.462852,-0.11207,-1.309478,0.847546,-1.613431,-1.159714,0.518783,1.587458,-0.402702,-1.78975,-0.41998,-1.654476,0.838333,0.946301,-0.582954,0.534079
also,-0.933702,0.027192,0.051445,1.409302,-0.030738,-0.474836,-1.327892,1.033259,-1.621186,-1.058503,-0.263287,0.363566,-0.238532,-1.109778,-0.259675,-1.016121,1.599535,1.11996,0.373365,0.338611
abl,-1.18351,0.207077,0.49858,1.123555,-0.153014,0.186504,-1.429841,1.163145,-1.406242,-0.555684,-0.629365,0.09533,-0.495325,-0.564565,0.712167,-1.436217,1.702024,0.840585,0.679861,1.10484
pace,-1.429152,0.412565,-0.268806,0.223124,0.450861,1.714147,-0.981896,1.937656,-1.313901,-0.950463,-1.310162,0.851374,-0.598875,-0.511138,-0.446328,-0.204908,0.861969,0.538144,1.063533,0.350909
allow,-0.841317,0.620354,-0.113939,0.441451,0.062277,0.044559,-0.042149,1.02309,-2.109892,-1.285534,0.03805,-0.03125,-0.072982,-0.330642,-0.500086,-1.292135,1.679696,0.803801,0.863647,0.256649
materi,-0.09708,0.78695,-1.184574,0.519802,0.063385,1.123333,-0.929383,2.064167,-1.891724,-0.58988,0.00869,0.145074,-0.067364,-0.34117,0.013622,-0.235214,1.378062,1.274441,0.209046,-0.49709
record,-0.443076,0.228008,-0.217772,1.639884,0.633585,0.082472,-1.013868,1.159151,-2.243153,-0.859403,0.169176,-0.387449,0.154235,-2.645306,1.518844,0.356964,0.711479,0.391956,-0.268246,-1.239004
discuss,0.676112,1.173383,0.029879,0.01487,0.267978,-1.020715,-0.46799,0.926271,-1.416983,-0.582287,-0.579417,-0.284125,1.012389,-0.49914,0.357151,-1.604653,1.815642,1.412317,0.030998,-0.279007
go,-0.939563,0.747305,0.253256,0.865522,-0.174654,1.264537,-1.309959,1.414958,-1.155659,-0.417017,-0.775985,0.360202,-0.628958,-1.376874,0.490839,-0.630514,0.432341,1.068033,1.549473,-0.255734
watch,-1.359923,-0.143968,-0.033653,1.273946,-0.036685,0.802124,-0.630088,1.573598,-1.73917,-0.683848,-0.076999,0.546108,-0.684371,-2.117597,0.552871,0.012088,0.052277,-0.528924,0.441368,-0.028465
actual,-0.682083,-0.607338,-0.247592,0.573362,-0.1916,0.232255,-1.738191,0.527225,-1.455426,0.09261,0.415129,1.306239,0.778979,-0.724076,1.032405,-1.369126,1.154118,1.295838,-0.776062,0.563464
help,-0.380795,0.382294,-0.449083,1.506473,0.272973,-0.103078,-0.784978,1.387441,-1.125113,-0.942026,0.142646,-0.13277,-0.255083,0.192432,-0.482647,-1.560817,1.393812,1.163212,0.006319,0.575461
make,-0.222829,0.172439,0.451099,1.6638,0.498594,-0.143106,-0.940947,0.541748,-1.657545,-1.217709,-0.266058,1.245637,0.111691,-0.777307,-0.424248,-0.903772,0.682931,0.948909,0.310691,0.350905
